"id","speed","travel_time","status","data_as_of","link_id","link_points","encoded_poly_line","encoded_poly_line_lvls","owner","transcom_id","borough","link_name"
"365","16.15","341","0","2025-12-10T13:58:06.000","4456510","40.741534,-73.95406001  40.7415,-73.95491001  40.742526,-73.95976  40.743125,-73.96152001  40.745436,-73.96631001  40.746234,-73.96946001  40.745835,-73.97259001  40.74598,-73.97347  40.746704,-73.97515","qitwFzckbMDhDkEh]wB~ImM\\|\_DtRnApR]nDoCnI","BBBBBBBBB","NYC_DOT_LIC","4456510","Queens","QMT W Toll Plaza - Manhattan Side"
"364","33.55","164","0","2025-12-10T13:58:06.000","4456511","40.745726,-73.97359 40.745616,-73.97305 40.745616,-73.97264001 40.746054,-73.96949001 40.74586,-73.96844 40.745365,-73.96643 40.74304,-73.96157001 40.74244,-73.95983001 40.742185,-73.95887 40.74143,-73.95491001 40.74136,-73.95378001","wcuwF\\|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF","BBBBBBBBBBB","NYC_DOT_LIC","4456511","Manhattan","QMT E Manhattan Side - Toll Plaza"
"394","28.58","242","0","2025-12-10T13:58:06.000","4616225","40.7723304,-73.91979 40.77384,-73.92192 40.77445,-73.922581 40.7754706,-73.923431 40.7784005,-73.92561 40.7810604,-73.927591 40.7836405,-73.929571 40.7843,-73.92986 40.7851,-73.929921 40.7858105,-73.929781 40.78627,-73.92955 40.78674,-73.92923 40.7879605,","ajzwFtmdbMmHhLyBbCkEhDiQrLsOjKcOjKcCx@_DJmC[{Am@}A_AsFyEsJkIgPkM{BiBuDiDkFiF{DsCuDaCqC_BqEuDeUwOcAkA","BBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616225","Queens","TBB N QUEENS ANCHORAGE - BE N"
"417","0","0","-101","2025-12-10T13:58:06.000","4763649","40.60414,-74.052411 40.60479,-74.050351 40.6075304,-74.041891 40.6081,-74.040011 40.6083804,-74.03924","{nyvFpj~bMaC{KcP{s@qBwJw@yC","BBBBB","Verrazano-Narrows-Bridge","4763649","Brooklyn","VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL"
"411","0","0","-101","2025-12-10T13:58:06.000","4763652","40.6040405,-74.052321 40.6047,-74.050301 40.60743,-74.041851 40.608031,-74.03998 40.6082705,-74.039211","gnyvF~i~bMcCsKaPys@wBuJo@yC","BBBBB","Verrazano-Narrows-Bridge","4763652","Brooklyn","VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL"
"264","0","0","-101","2025-12-10T13:58:06.000","4763655","40.6083804,-74.039301 40.6107105,-74.03202 40.6110506,-74.03144 40.611501,-74.03094 40.61272,-74.02992 40.6134404,-74.02892 40.6142306,-74.02803 40.6163106,-74.02624","kizvFrx{bMqMol@cAsByAcBsFkEoCgE}CqD_LeJ","BBBBBBBB","Verrazano-Narrows-Bridge","4763655","Brooklyn","GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL"
"263","0","0","-101","2025-12-10T13:58:06.000","4763657","40.60846,-74.03933 40.6107805,-74.03207 40.6111,-74.03154 40.6115804,-74.031051 40.6127904,-74.030031 40.6137105,-74.02903 40.614411,-74.028201 40.6163504,-74.02639","{izvFxx{bMoMkl@_AiB_BaBqFkEwDgEkCeDcKiJ","BBBBBBBB","Verrazano-Narrows-Bridge","4763657","Brooklyn","GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL"
"324","0","0","-101","2025-12-10T13:58:05.000","4329473","40.7578106,-73.996801 40.7604506,-74.003221 40.762021,-74.00705 40.76621,-74.01712","iowwF~nsbMoObg@yH\\|VeY\\|}@","BBBB","PA -Lincoln Tunnel","4329473","Manhattan","LINCOLN TUNNEL E CENTER TUBE NJ - NY"
"349","0","0","-101","2025-12-10T13:58:05.000","4329499","40.6309004,-74.14569 40.63259,-74.145531 40.6343505,-74.145131 40.6352905,-74.144911 40.6395205,-74.143161 40.64452,-74.141111 40.64672,-74.140171 40.6474905,-74.13978 40.65243,-74.136261 40.6532706,-74.13549 40.65375,-74.13476 40.654011,-74.134041 40.654","cv~vFpqpcMqI_@_JoA{Dk@mY}Ig^yKwL{DyCmA{]_UgDyC_BqCs@oCUuBGkCDqDf@wYSgI]sDsAgIaByGcFuM","BBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4329499","Staten Island","MLK N WALKER STREET - NJ ROUTE 169"
"329","0","0","-101","2025-12-10T13:58:05.000","4329508","40.75766,-73.99687 40.7604,-74.00328 40.76197,-74.0071 40.76615,-74.01717","knwwFlosbMcP`g@yHzVcY\\|}@","BBBB","PA -Lincoln Tunnel","4329508","Manhattan","LINCOLN TUNNEL W CENTER TUBE NY - NJ"
"212","48.46","224","0","2025-12-10T13:58:04.000","4362244","40.78802,-73.79003 40.7868604,-73.78838 40.7863506,-73.787771 40.7854504,-73.786831 40.78502,-73.786481 40.7848004,-73.78632 40.7844005,-73.78601 40.7837704,-73.785671 40.7831705,-73.78538 40.78264,-73.7852 40.7817,-73.78497 40.78116,-73.78489 40.78058,-7","cl}wFtbkaMfFiIdByBrD{DtAeAj@_@nA}@\\|BcAvBy@hBc@zDm@jBOrBY\\|C_@f@EpHk@\\|Is@????bIOrGa@xHcBvFyBtImDzHgDtBcAtCoApCgAbEqA~QuHxGqDbCUbCRjEcApEy@jGeAtEi@dBg@t@SdRyGzHwC\\|IcDbKuDdLeEnM}ExOwFzRsHnCoArGeEtOaQjGqMbCoJ\\|@{GDuIe@Sf","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC-DOT-Region 10","4362244","Queens","CVE NB LIE - WILLETS PT BLVD"
"319","44.11","218","0","2025-12-10T13:58:04.000","4362251","40.7537504,-73.744391 40.75605,-73.740851 40.7576705,-73.738391 40.7591904,-73.735841 40.7596604,-73.734851 40.75999,-73.73388 40.7607206,-73.73196 40.76113,-73.731051 40.76178,-73.72999 40.76274,-73.72851 40.7633104,-73.727421 40.7638,-73.72609 40.76408,","}uvwFlebaMkMcUcIkNoH}N}AeEaAaEqC_KqAuDaCsE_EgHqByEaBiGw@kDi@wE","BBBBBBBBBBBBBB","NYC-DOT-Region 10","4362251","Queens","LIE WB LITTLE NECK PKWY - NB CVE"
"405","46.6","57","0","2025-12-10T13:58:04.000","4362314","40.79782,-73.79339 40.793425,-73.79344 40.792794,-73.79337001 40.792,-73.79318 40.79086,-73.79276 40.79086,-73.79276 40.7901,-73.79252001 40.788326,-73.79229001 40.788055,-73.79212001 40.78792001,-73.79197 40.78779,-73.79155 40.78775,-73.79135001 40.78776","ki_xFtwkaMnZH\\|BM\\|Ce@bFsA??vCo@bJm@t@a@X]XsAFg@Aq@OgAkFgPw@wI","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4362314","Queens","TNB S Qns Anchorage - CIP S @ TNB"
"399","24.85","97","0","2025-12-10T13:58:03.000","4456452","40.8011005,-73.92846 40.80151,-73.93066 40.8014,-73.93111 40.8012304,-73.93129 40.80096,-73.93141 40.8007405,-73.93133 40.800501,-73.93106 40.80026,-73.93057 40.81,-73.93002 40.7997606,-73.92972 40.7994205,-73.929511 40.79901,-73.92945 40.79771,-73.929341","{}_xFzcfbMqAvLTxA`@b@t@Vj@On@u@n@aBp@mBp@{@bAi@pAKbGUjCErBTvBf@dB\\|@rAdAf@v@tAnC","BBBBBBBBBBBBBBBBBBBB","MTA Bridges & Tunnels","4456452","Manhattan","TBB W - FDR S MANHATTAN TRUSS - E116TH STREET"
"350","50.33","165","0","2025-12-10T13:58:03.000","4616196","40.63092,-74.14592 40.62975,-74.14593 40.62877,-74.14579 40.6279506,-74.145671 40.62713,-74.145681 40.62637,-74.14586 40.6254205,-74.14618 40.6247506,-74.146381 40.6241006,-74.146661 40.6234004,-74.14704 40.6226006,-74.147501 40.6217506,-74.148181 40.6208","gv~vF~rpcMhF@bE[bDWbD@vCb@\\|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC\\|BjGvEtBjArCC\\|BmAtA_Cj@gDXgI^mCnBkD`AiC","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616196","Staten Island","MLK S - SIE E WALKER STREET - WOOLEY AVENUE"
"435","57.78","105","0","2025-12-10T13:58:03.000","4616198","40.62102,-74.168861 40.6212304,-74.16992 40.6212304,-74.170961 40.6206306,-74.173561 40.6197105,-74.175091 40.6188605,-74.17597 40.61693,-74.1773 40.60685,-74.183361 40.60437,-74.18531 40.6020904,-74.187711","kx\\|vFjbucMi@rE?nEvBfOvDpHhDnD`KhG~}@zd@nNdKfM~M","BBBBBBBBBB","NYC_DOT_LIC","4616198","Staten Island","WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE"
"384","51.57","134","0","2025-12-10T13:58:03.000","4616199","40.60213,-74.187981 40.60504,-74.185 40.60687,-74.183601 40.6098,-74.181981 40.6157705,-74.17837 40.61719,-74.177821 40.61921,-74.177141 40.620791,-74.175571 40.62154,-74.174191 40.6218804,-74.17309 40.6220405,-74.17158 40.62189,-74.17091 40.6211906,-74.1","ibyvFzyxcMeQsQmJwGiQcIid@qU{GmBsKgC{HyHuCsGcA{E_@mH\eCjCoLaCxK","BBBBBBBBBBBBBB","NYC_DOT_LIC","4616199","Staten Island","SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE"
"439","50.33","57","0","2025-12-10T13:58:03.000","4616200","40.5900505,-74.19356 40.59141,-74.19352 40.59413,-74.19266 40.5984005,-74.19099 40.59978,-74.19014 40.60139,-74.188741 40.60213,-74.187981","yvvvFv\\|ycMoGG_PkDuYmIsGiDaIwGsCwC","BBBBBBB","NYC_DOT_LIC","4616200","Staten Island","WSE S SOUTH AVENUE - VICTORY BOULEVARD"
"441","54.68","143","0","2025-12-10T13:58:03.000","4616201","40.56058,-74.199581 40.568141,-74.192011 40.5700804,-74.190751 40.571991,-74.19015 40.5737105,-74.190041 40.5751205,-74.19029 40.5763306,-74.190571 40.5777,-74.19088 40.5899804,-74.19356","s~pvFjb{cMgn@in@cK{F}JwBwIUyGp@qFv@qG\\|@wkAvO","BBBBBBBBB","NYC_DOT_LIC","4616201","Staten Island","WSE S VICTORY BOULEVARD - ARDEN AVENUE"
"436","59.03","87","0","2025-12-10T13:58:03.000","4616202","40.56058,-74.199581 40.55926,-74.20113 40.5584906,-74.202351 40.55789,-74.20363 40.55738,-74.20496 40.5561606,-74.209741 40.5558905,-74.210551 40.55516,-74.212471 40.55443,-74.213991 40.55386,-74.215 40.5529104,-74.21635 40.55187,-74.21765 40.5509404,-74.","s~pvFjb{cMfGtHxCrFvB~FdBhGrFz\t@`DpC~JpCnHpBhE\\|DlGnEbGxDxDzMdL","BBBBBBBBBBBBBB","NYC_DOT_LIC","4616202","Staten Island","WSE S ARDEN AVENUE - BLOOMINGDALE ROAD"
"437","0","0","-101","2025-12-10T13:58:03.000","4616203","40.52581,-74.23039 40.52593,-74.228371 40.52611,-74.22745 40.52653,-74.226761 40.5271204,-74.226401 40.529101,-74.22574 40.5309504,-74.22432 40.53188,-74.22409 40.536891,-74.22458 40.5388504,-74.2245 40.5418,-74.22405 40.54379,-74.22338 40.54589,-74.22241","iejvF\\|badMWsKc@wDsAiCuBgAkKcCqJ{GyDm@i^`BgKOmQyAmKeCcLaE{FoCcHmE","BBBBBBBBBBBBBBB","NYC_DOT_LIC","4616203","Staten Island","WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE"
"385","44.11","32","0","2025-12-10T13:58:03.000","4616208","40.6077805,-74.14091 40.60826,-74.132101","sezvFtsocM_Bav@","BB","NYC_DOT_LIC","4616208","Staten Island","SIE W BRADLEY AVENUE - WOOLEY AVENUE"
"434","63.37","50","0","2025-12-10T13:58:03.000","4616212","40.6020904,-74.1877 40.600331,-74.18943 40.59783,-74.19099 40.592071,-74.193131 40.5907404,-74.19333 40.5902,-74.19332","abyvFbxxcM~IxIrNvH~b@jLhGf@jBA","BBBBBB","NYC_DOT_LIC","4616212","Staten Island","WSE N VICTORY BLVD - SOUTH AVENUE"
"430","60.27","130","0","2025-12-10T13:58:03.000","4616213","40.5902,-74.19332 40.57748,-74.19046 40.57623,-74.190181 40.5742005,-74.1898 40.57251,-74.189821 40.57162,-74.18998 40.5703306,-74.190391 40.56777,-74.192011 40.5604,-74.19941","wwvvFf{ycMnnA{PxFw@tKkApIBpD^`GpA~NbI`m@fm@","BBBBBBBBB","NYC_DOT_LIC","4616213","Staten Island","WSE N ARDEN AVENUE - VICTORY BLVD"
"431","60.27","83","0","2025-12-10T13:58:03.000","4616214","40.56042,-74.199391 40.55924,-74.20076 40.5585105,-74.20184 40.5579004,-74.203061 40.5571906,-74.204851 40.55606,-74.20935 40.5557304,-74.210451 40.55519,-74.21191 40.554441,-74.21348 40.55369,-74.214801 40.552851,-74.216101 40.5518206,-74.217341 40.55086","s}pvFda{cMjFpGpCvExBrFlCdJ`Fb[`AzEjBbHtCxHtCfGfDbGlEvF~DlE\\|NvL","BBBBBBBBBBBBBB","NYC_DOT_LIC","4616214","Staten Island","WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE"
"433","0","0","-101","2025-12-10T13:58:03.000","4616215","40.52561,-74.23039 40.5258705,-74.22618 40.5263604,-74.22336 40.52734,-74.22338 40.5371,-74.2243 40.53931,-74.22418 40.5407805,-74.223981 40.54437,-74.22283 40.5466005,-74.22172 40.54831,-74.22059","adjvF\\|badMs@iYaBsPcEB_\\|@vDyLWeHg@mUeF}L}EuIaF","BBBBBBBBBB","NYC_DOT_LIC","4616215","Staten Island","WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD"
"383","46.6","160","-101","2025-12-10T13:58:03.000","4616217","40.6167105,-74.15242 40.61572,-74.15276 40.6148106,-74.152971 40.6140506,-74.15282 40.61301,-74.15227 40.61034,-74.150871 40.6096,-74.150101","m}{vFr{qcMdEbAtDh@vC]nEmBtOwGrCyC","BBBBBBB","NYC_DOT_LIC","4616217","Staten Island","SIE W - MLK N WOOLEY AVENUE - WLAKER STREET"
"258","49.08","87","0","2025-12-10T13:58:03.000","4616220","40.6162405,-74.02612 40.61923,-74.02361 40.62362,-74.019831 40.6248406,-74.019061 40.62579,-74.01859 40.6279004,-74.017721 40.63049,-74.01676 40.63239,-74.016061 40.63336,-74.01586","oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@","BBBBBBBBB","NYC_DOT_LIC","4616220","Brooklyn","GOW N 92ND STREET - 7TH AVENUE"
"259","5.59","728","0","2025-12-10T13:58:03.000","4616223","40.6756,-74.841 40.67643,-74.001241 40.6772405,-74.001741 40.6783605,-74.002531 40.67925,-74.00331 40.6795705,-74.00341 40.68001,-74.00332 40.6805806,-74.003031 40.6814704,-74.0026 40.68522,-74.76 40.6872004,-73.999811 40.6892206,-73.99885 40.68972,-73.99","omgwFfhtbMeDnAaDbB_F\\|CqDzC_ARwAQqBy@qDuAmVoJkK}DsK_EcBc@yBAuBb@yBt@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616223","Brooklyn","GOW N 9TH STREET - ATLANTIC AVENUE"
"261","45.98","92","0","2025-12-10T13:58:03.000","4616226","40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151","_{{vFjgybMoQ}NwZwVwEkCmEeBgLiD{OuDwIcCkDa@","BBBBBBBBB","NYC_DOT_LIC","4616226","Brooklyn","GOW S 7TH AVENUE - 92ND STREET"
"354","58.4","139","0","2025-12-10T13:58:03.000","4616228","40.8859405,-73.89676 40.88698,-73.89528 40.8876205,-73.89407 40.8884506,-73.89185 40.8891906,-73.889041 40.88976,-73.88773 40.8907504,-73.886441 40.8938205,-73.883351 40.8966206,-73.88065 40.8978505,-73.879821 40.8992805,-73.879331 40.90706,-73.87806 40.9","cppxFv}_bMoEgH_CqFeD{LsCqPqBeGeEaGeRiRoP{OuFeD}GaBso@}FsN}AsD_BcCqBiFaG","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616228","Bronx","I-87 NYST S Exit 1 - MDE S Van Cortlandt Park"
"154","44.73","91","0","2025-12-10T13:58:03.000","4616229","40.6757405,-74.00126 40.6765204,-74.0018 40.67817,-74.003221 40.67864,-74.003471 40.67925,-74.0036 40.6796,-74.00358 40.68003,-74.003441 40.6806205,-74.003161 40.68153,-74.00273 40.6853005,-74.891 40.68726,-73.999951 40.6892405,-73.99899 40.68972,-73.9988","kngwFzjtbM{CjBiIzG}Ap@yBXeACuA[uBw@uDuAqVoJgK{DkK_E_Ba@yBEuBj@eCt@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616229","Brooklyn","BQE S - GOW S ALTANTIC AVENUE - 9TH STREET"
"453","18.01","301","0","2025-12-10T13:58:03.000","4616239","40.7714206,-73.83345 40.7702704,-73.8354 40.76924,-73.836711 40.7675005,-73.838271 40.76592,-73.839261 40.7654804,-73.83954 40.7649004,-73.839841 40.76456,-73.83995 40.76418,-73.84001 40.7636705,-73.84 40.7633,-73.839941 40.7626006,-73.839671","kdzwF`rsaMdFdKlEdGzIvHzHdEvAv@rBz@bATjAJdBAhAKjCu@","BBBBBBBBBBBB","NYC_DOT_LIC","4616239","Queens","Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)"
"428","52.19","102","0","2025-12-10T13:58:03.000","4616241","40.7626006,-73.839671 40.7613906,-73.83898 40.7610504,-73.83887 40.7605406,-73.83879 40.76001,-73.838821 40.75831,-73.83897 40.75788,-73.8389340.75562,-73.83847 40.75513,-73.83834 40.75455,-73.83811 40.7513,-73.835911 40.75041,-73.8353 40.7498406,-73.8350","gmxwF\\|xtaMpFiCbAUdBOhBDrI\tAGbM{A`BYrBm@hSwLpDyBpBw@\\|A_@jBMrCLbEjA~BdBjCvBf@XnAlAbBhAvB\\|@xAZdBRtABjCItKoBpGmAvTcAfCc@\\|EeBt`@oP","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616241","Queens","VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)"
"129","56.54","81","0","2025-12-10T13:58:03.000","4616246","40.8240706,-73.874311 40.8247,-73.86959 40.8251906,-73.86596 40.82536,-73.86426 40.82587,-73.85961 40.8266006,-73.85424 40.8271806,-73.84994","mmdxFjq{aM}Bm\aBwUa@sIeB_\qCq`@sB{Y","BBBBBBB","NYC_DOT_LIC","4616246","Bronx","BE N STRATFORD AVENUE - CASTLE HILL AVE"
"126","49.7","149","0","2025-12-10T13:58:03.000","4616247","40.8271606,-73.84993 40.82771,-73.84671 40.8284105,-73.843471 40.82869,-73.84133 40.8287905,-73.8386 40.82891,-73.837 40.8292,-73.835541 40.82968,-73.834031 40.8305,-73.83239 40.83211,-73.82983 40.83305,-73.82826 40.83366,-73.82693 40.8343006,-73.82571","w`exF~xvaMmBaSkCiSw@iLScPW}Hy@eH_BmHcDeIaIaO{DwHyBiG_CsF_C{BmDuAgDIcC`@gDbAgCZ","BBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616247","Bronx","BE N Castle Hill Avenue - Griswold Ave"
"184","41.63","60","0","2025-12-10T13:58:03.000","4616253","40.8347204,-73.86593 40.83357,-73.86199 40.8327305,-73.8592 40.8312,-73.85409 40.83017,-73.85069 40.83015,-73.85071 40.8301304,-73.850731 40.8301105,-73.850731","_pfxF`}yaMdFsWfDmPpH}^lEgTBBBBB","BBBBB","NYC_DOT_LIC","4616253","Bronx","CBE E TAYLOR AVENUE - CASTLE HILL AVENUE"
"137","13.04","336","0","2025-12-10T13:58:03.000","4616260","40.8242005,-73.874361 40.8249804,-73.868411 40.8254,-73.865281 40.82591,-73.860311 40.8266906,-73.854581 40.8273104,-73.84998","gndxFvq{aM{Ced@sAqReBa^{Cyb@{Bw[","BBBBBB","NYC_DOT_LIC","4616260","Bronx","BE S CASTLE HILL AVENUE - STRATFORD AVENUE"
"142","37.28","201","0","2025-12-10T13:58:03.000","4616261","40.83037,-73.85062 40.82996,-73.849251 40.8294605,-73.847771 40.8290406,-73.84645 40.8288104,-73.84523 40.8288104,-73.844191 40.82898,-73.842891 40.8298604,-73.838141 40.83005,-73.836841 40.83006,-73.83578 40.8300205,-73.834511 40.8300906,-73.833971 40.83","ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ","BBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616261","Bronx","BE S Griswold - Castle Hill Avenue"
"160","0","0","-101","2025-12-10T13:58:03.000","4616266","40.8562805,-73.87254 40.8521804,-73.871581 40.8501706,-73.871451 40.8483304,-73.871491 40.8458506,-73.87152 40.84239,-73.872261 40.83964,-73.87291 40.8363,-73.8739 40.8349506,-73.87408 40.83339,-73.87407 40.8319705,-73.873921 40.8298404,-73.873331 40.8268","wvjxFjf{aMrX_EpKYnJFnNDrTrCdP`CzSdElGb@vHAzG]hLuB\\|Q{A","BBBBBBBBBBBBB","NYC_DOT_LIC","4616266","Bronx","BRP S FORDHAM ROAD - WATSON AVENUE"
"185","4.97","490","0","2025-12-10T13:58:03.000","4616267","40.8304204,-73.850811 40.83156,-73.854671 40.83238,-73.857341 40.83312,-73.859891 40.83335,-73.86046 40.83352,-73.86113 40.8337406,-73.862011 40.83415,-73.86333 40.8345205,-73.86458 40.8350406,-73.866311","cuexFp~vaMcFbWcDtOsC\\|Nm@pBa@dCk@nDqAfGiAxFgBxI","BBBBBBBBBB","NYC_DOT_LIC","4616267","Bronx","CBE W CASTLE HILL AVENUE - TAYLOR AVENUE"
"178","49.08","169","0","2025-12-10T13:58:03.000","4616297","40.8302204,-73.850641 40.8295305,-73.848401 40.8291004,-73.847491 40.82836,-73.8459 40.8281405,-73.84524 40.8280305,-73.844641 40.827991,-73.843911 40.82804,-73.842981 40.8281906,-73.841761 40.8286304,-73.83844 40.82887,-73.83673 40.8291904,-73.83548 40.8","{sexFn}vaMhC_MtAuDrC}Hj@cCTwBFqCIyD]sFwAwSo@uI_AyFe@wBmAmE}A}DwAsCyFqK{DmH}AuD{D_KeCiCiCmAuDQwC`@kH`B","BBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616297","Bronx","CBE E CASTLE HILL AVE - BE N WATERBURY AVE"
"423","53.43","100","0","2025-12-10T13:58:03.000","4616299","40.7624804,-73.839391 40.76191,-73.839121 40.76153,-73.83892 40.76122,-73.83879 40.7609604,-73.838721 40.76061,-73.838681 40.76024,-73.83869 40.7587705,-73.83884 40.75845,-73.838811 40.7581404,-73.838771 40.7558805,-73.838371 40.75522,-73.8382 40.75473,-7","olxwFdwtaMpBu@jAg@\\|@Yr@MdAGhA@dH\~@E\\|@GbMoAbCa@`Be@\\|Aq@`EaCvMeI\\|BqAbAa@vA_@dAMhAGjA@jAL\\|@N\\|Aj@tBhA~BlBnFnEp@^xAr@vCh@jDJ~AIdAO`GiApFgAvCc@~Qy@rC[nBi@lCeAjKmEpNcGjEkB","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616299","Queens","VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)"
"424","45.98","116","0","2025-12-10T13:58:03.000","4616300","40.77125,-73.833351 40.77065,-73.834421 40.77006,-73.8354 40.769341,-73.83641 40.76874,-73.836931 40.7679705,-73.837601 40.7672504,-73.83798 40.7659105,-73.83889 40.76558,-73.839031 40.7650104,-73.83937 40.7646304,-73.83955 40.764281,-73.83965 40.76377,-7","iczwFlqsaMvBtEtBbEnChEvBfBxCdCnCjAjGtD`AZpBbAjAb@dARdBLnACz@MtBo@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616300","Queens","VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)"
"177","43.49","98","0","2025-12-10T13:58:03.000","4616309","40.8464305,-73.93213 40.8458904,-73.930331 40.84516,-73.92739 40.84478,-73.925401 40.8447106,-73.92412 40.84478,-73.92246 40.844891,-73.92045 40.8451105,-73.91534 40.8451305,-73.91194 40.8451105,-73.910811 40.84503,-73.909371","eyhxFxzfbMjBiJpCiQjAoKL_GMiIUqKk@}^CgTBcFN_H","BBBBBBBBBBB","NYC_DOT_LIC","4616309","Bronx","CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE"
"172","42.87","99","0","2025-12-10T13:58:03.000","4616310","40.82495,-73.836211 40.82367,-73.83602 40.8202605,-73.835941 40.81888,-73.835951 40.81555,-73.83628 40.81275,-73.83627 40.8124306,-73.83621140.81201,-73.836031 40.81139,-73.83571 40.79715,-73.82657","gxhxFp{fbMpAiE`@kGhEm[L{FQqIUeKm@}^?gTB{FLgG","BBBBBBBBBBB","NYC_DOT_LIC","4616310","Bronx","CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE"
"167","24.85","257","0","2025-12-10T13:58:03.000","4616312","40.7992604,-73.828251 40.79751,-73.827091 40.795711,-73.8258 40.7932906,-73.82419 40.7925904,-73.82378 40.791681,-73.823501 40.7907606,-73.823421 40.7886106,-73.82362 40.7870405,-73.82414 40.78439,-73.8247 40.78249,-73.825031 40.7817,-73.82527 40.78065,-7","kr_xFpqraM\\|IgFfJaGbNaIjCqAtDw@vDOlLf@xHfBpOnBzJ`A\\|Cn@pEfBz[\\|O\\|HzEtBdBnElFhElHbAxB","BBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616312","Queens","BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)"
"257","20.5","610","0","2025-12-10T13:58:03.000","4616318","40.6333906,-74.01586 40.634,-74.015921 40.63445,-74.01605 40.6349304,-74.0163 40.6354904,-74.016831 40.6363404,-74.0181 40.6376906,-74.020311 40.63817,-74.02093 40.6386004,-74.02127 40.6391604,-74.02155 40.63971,-74.02163 40.6402406,-74.021561 40.6409304,","ue_wFbfwbMyBJyAX_Bp@oBhBiD\\|FmGxL_BzBuAbAoBv@mBNiBMiCaAuCcCuD_EmMiM{V{Wq~@_aAmb@wc@qB_BkDsA{BQkDN}FrBqX\\|NsFvC_FnCuAn@","BBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616318","Brooklyn","GOW N 7TH AVENUE - 9TH STREET"
"262","32.31","387","0","2025-12-10T13:58:03.000","4616319","40.6332305,-74.016151 40.63391,-74.01613 40.6343505,-74.016241 40.63485,-74.016501 40.63533,-74.01694 40.63622,-74.01827 40.6375704,-74.02046 40.63803,-74.021071 40.6385,-74.02146 40.63908,-74.02173 40.63967,-74.02185 40.64036,-74.02172 40.64103,-74.02143","ud_wF\\|gwbMgCCwATcBr@_BvAqDhGmGtL{AxB}AlAsBt@uBViCYeCy@wBqAkCeCeOcP_WgXm~@aaAmb@yc@cBuAwCqAmCUoDPuFdBsX`OwFlCaFzC{BvA","BBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616319","Brooklyn","GOW S 9TH STREET - 7TH AVENUE"
